A21,B21,C21,mean_HdhQ150-NB-64,std_HdhQ150-NB-64
40.166557689987044,41.361186051328446,41.160797775549526,40.89618050562167,0.639766328504684
40.205275412521935,39.552997850398505,40.01971680726965,39.925996690063364,0.3360864468991448
40.38662344547138,40.05054442128858,40.55069593578275,40.329287934180904,0.2549576533542551
40.935075500646136,39.795072781419016,40.886860149868944,40.539002810644696,0.6447131891782855
39.70928018892876,39.96400321305878,41.199353501667275,40.290878967884936,0.7970040392957628
39.18034562839644,40.64441393847849,41.315193916556964,40.3799844944773,1.0917126460321729
39.23141579145279,40.418606466965585,40.7733105076008,40.14111092200639,0.8075349292912576
39.593001229122514,40.15884911219868,40.710380797498914,40.154077046273365,0.5587050692594028
39.728480511412855,39.938602957852844,41.35298842831208,40.34002396585925,0.8835217101286935
40.3685049516424,41.251478997004895,40.65072973513679,40.756904561261365,0.45096076489301085
39.77595039924262,40.752073155074775,40.02866471295749,40.1855627557583,0.5066227940878534
40.31933515636165,40.46876832942549,40.5980115380134,40.46203834126684,0.13946003362286064
40.12466221746471,41.141976023036506,39.707260118898276,40.324632786466495,0.7379658547297215
39.94087505990685,41.8622924046365,39.11534033880356,40.3061692677823,1.409438294756629
40.08856416786883,39.92874881935228,39.63693173913828,39.8847482421198,0.2290087351344022
40.175249421864706,41.56747800500353,41.12536362419368,40.95603035035398,0.7113932984988962
39.95663153067989,40.58690339570725,40.26079139835432,40.26810877491382,0.3151996414354749
40.88973430047194,40.54501334527015,39.76607409115902,40.40027391230037,0.5756432871932067
39.50575287985868,40.85303246858285,41.44147131303577,40.60008555382577,0.9923396945598996
41.34488460142761,40.457119051512,40.676145427187485,40.8260496933757,0.4624774423367152
40.72646462677664,39.682867805192124,40.26904631157882,40.226126247849194,0.5231206174566644
40.96009539242576,41.296135491260046,41.309811050302805,41.18868064466287,0.1980786924028207
40.698957109285914,40.40109657524,39.65870661103879,40.252920098521564,0.5357214537101944
41.05717395613374,40.378385345823645,41.45990758388338,40.96515562861359,0.5466014245354086
40.326924003160855,40.19226218291052,40.374590295503914,40.29792549385843,0.09455987688649807
40.67526494837929,40.265613060741984,41.09052021041765,40.67713273984631,0.41245674667803844
40.94455265209072,40.864242547546425,40.21728860569815,40.6753612684451,0.3987296721966378
41.29942069074989,40.387325225902856,41.549532684103006,41.07875953358525,0.6117189335674856
40.361303143248314,40.93667378662747,40.44874871441076,40.58224188142885,0.31004542174659866
40.122727613471724,41.861132554260095,39.728591465016336,40.570817210916054,1.1346898650431334
40.684049057425284,40.15314868181301,40.57404505559083,40.47041426494304,0.2802111842593519
40.230676435468325,40.92096817874615,40.68377751721409,40.61180737714286,0.35072845408633385
40.02467563043286,39.55891574680374,40.14028581631858,39.907959064518394,0.30775778950511035
40.37162785758933,40.94654000917758,41.92664506507913,41.08160431061535,0.7862578476807054
40.55312988804563,40.61246526049928,40.71960552133669,40.628400223293866,0.08437402680542941
39.37265226466629,39.76178498539897,40.591164664308714,39.90853397145799,0.6223701195451115
40.445393739708315,40.58946584963216,41.20769395229044,40.747517847210304,0.4049823810729545
39.97100737487981,40.28177191971739,40.234723065553936,40.16250078671705,0.16749833955094137
