D12,E12,F12,mean_HdhQ150-2w-67,std_HdhQ150-2w-67
40.5753950928898,39.87152818952005,40.59968549064392,40.34886959101792,0.41356815163129923
40.05166981066539,39.710066076187864,40.87058370166755,40.2107731961736,0.5963939178281269
40.486848071592604,40.39013276905801,40.70837332869297,40.528451389781196,0.16314836962844215
39.63832040567794,40.788841552924474,39.582081565957296,40.003081174853236,0.6810691819362202
40.92091600099038,40.437823852356445,41.455444014711304,40.93806128935271,0.5090266882910494
39.924362643208354,39.348009912262405,40.6879814599817,39.98678467181748,0.6721631642808684
40.993543021948774,39.294321017732564,40.685334819463165,40.32439961971483,0.9052869814131672
40.49170667230107,40.0227187320609,40.457950943287415,40.32412544921646,0.2615709639279174
41.28550533053159,41.39620310821659,40.86156199589201,41.181090144880066,0.2822005988528337
40.421476803016446,40.66581235106687,39.98131967284445,40.35620294230926,0.34688335835514145
41.05780565060284,40.662770118458816,41.65397535318159,41.124850374081085,0.4989921848537957
39.745678515821986,40.95567870151302,41.02002895449374,40.57379539060958,0.7178916404971245
39.97515977369141,41.10094083041678,39.744002785719516,40.273367796609236,0.7259588369777786
40.0331560354536,39.94828518072013,40.821595410719034,40.267678875630914,0.48157908112667597
41.2470603845976,40.96871686630956,41.33390629646671,41.18322784912463,0.1907793867620576
40.62282975255321,40.79031781772231,40.393790493143186,40.60231268780624,0.1990582634402384
40.14472066648926,40.936883036657285,41.34919276790798,40.81026549035151,0.6121374543747311
40.2878106441777,40.40564685820371,40.0607029398981,40.25138681409317,0.17533282134993153
40.42306734079526,40.69178520087741,40.578935337993514,40.56459595988873,0.13493159528111726
40.25523024062758,41.32455279574382,40.76948735773232,40.783090131367906,0.5347910417237889
39.879433929155255,41.29009648626415,41.17784415082176,40.78245818874706,0.7840534144824296
40.6260414898538,41.28263030180286,41.57008763656136,41.15958647607267,0.48390145594541284
40.10034854094864,40.82002699005539,41.13541213315906,40.68526255472103,0.5305282742259141
41.58625482017977,40.67782918603084,41.132536734286795,41.13220691349914,0.45421290688512345
40.79700224736476,41.802121856404334,41.39912585879338,41.33274998752083,0.5058366083374752
39.20284912102092,41.37529599956275,40.58820669883191,40.388783939805194,1.0998674636677412
41.046449079020505,40.40474891754915,41.95766727013698,41.136288422235545,0.780347475899684
41.929780742512825,41.02273719352091,41.250774432461476,41.40109745616507,0.47183658032575815
40.93292035644206,41.21241171132601,41.19698373020371,41.114105265990595,0.1571002362711795
40.658885757850776,41.21830419223418,41.0824810754986,40.98655700852785,0.29178470856121097
41.390675391989994,40.954573639543426,41.919349112526056,41.42153271468649,0.48312737356748
41.02474083787449,40.88655839012504,41.954522106699564,41.288607111566364,0.5808232801583838
40.63654196254411,39.827353179272,41.25666928519575,40.57352147567062,0.7167390173470285
41.328595689549694,40.82728367880614,42.26326252801661,41.47304729879082,0.7288062255525947
40.422543628476575,40.44266785679318,41.01027626158425,40.625162582284666,0.33366998011370697
41.565920546059736,40.702722503636835,41.28932300398686,41.185988684561146,0.4407790844505488
40.304819106333234,42.056245093840154,40.937557652774125,41.099540617649176,0.8868777300794797
41.72711891584179,41.889419742405835,40.232359221886476,41.2829659600447,0.9134638899668897
42.21519841987704,41.850885939225805,40.42954134241479,41.49854190050588,0.9435319500625624
41.22606125650375,41.163111417615,40.80907007512842,41.06608091641572,0.2247923485317854
40.740260933725004,41.096551484460505,40.600066858686915,40.81229309229081,0.2559603871854437
42.38401379651683,40.64504905220879,41.37345659463138,41.467506481119,0.8732889735636392
40.744522468994596,40.44960513859808,40.933801269597545,40.70930962573007,0.24401113000597222
40.8388125675633,40.5166358191925,41.949382390767546,41.10161025917444,0.7516566068539026
39.95791889983626,41.43190231033139,41.639660979096,41.00982739642121,0.9168830514315496
40.10556785023173,40.114299279240115,42.064795055998474,40.76155406182344,1.1286482517316372
41.9870464628912,41.30917860158333,41.253118576470825,41.51644788031512,0.40851309776537864
42.10922655031306,41.8185257371945,41.068799818722376,41.66551736874331,0.536824567772554
40.73316919732776,41.43565893685668,42.41908756819898,41.52930523412781,0.8468514687090718
41.08692177971394,40.53546033604524,41.651754090131085,41.09137873529676,0.5581602231371989
41.7564559726619,39.86694013188093,40.23426580008499,40.61922063487594,1.0018533808707963
41.022509344837566,41.08049786329435,41.11400424656815,41.07233715156669,0.046290141203055246
39.92281843439376,41.0980474790366,40.147594113626035,40.38948667568547,0.6238387896947317
41.099210427968266,41.090579430412745,42.35169594779937,41.51382860206012,0.7256272392363687
41.16668006813561,41.34026207591491,41.638120825742185,41.38168765659757,0.23843480457839303
41.57419164910829,42.07166335088713,41.78248531437619,41.8094467714572,0.2498293690574251
40.88411430406512,41.15947100480283,41.46427995944805,41.169288422772006,0.2902073968615574
41.04151312011264,41.96478978893429,42.559448124663255,41.85525034457006,0.7648730854944088
40.21912052876795,40.649001100203776,41.09103629336164,40.65305264077779,0.43597200182180945
40.960597257170114,41.42633753612636,41.679026761557985,41.35532051828482,0.3644417660080683
