G20,H20,I20,mean_HdhQ150-1.5mon-75,std_HdhQ150-1.5mon-75
20.63572274139579,22.817718213698452,19.630994232527236,21.028145062540492,1.629201918622237
22.228931375116094,23.826662950772693,21.015071919727877,22.35688874853889,1.410156320598131
22.906290301711888,24.883224617638007,22.92779978602116,23.572438235123684,1.1352252507399352
25.070867672027237,26.331328976428093,25.219018128907845,25.540404925787726,0.6889541203008434
26.851834326090763,27.367144363648897,25.63075141677693,26.616576702172196,0.8917817719013631
26.98293140277299,28.157651229268392,26.15270129006944,27.097761307370277,1.007395401476419
28.448117352671193,29.111118310788083,26.804970236448888,28.121401966636057,1.1872813242019185
27.848673582421796,30.471666451605085,28.068841808792968,28.796393947606617,1.4549989635617722
30.175441493330275,30.954489856619173,29.304388814138036,30.14477338802916,0.8254778992265046
30.607292408853738,31.94889248683014,30.051083156251646,30.869089350645172,0.9756143156269329
31.20911539569478,31.383126415476497,30.71671365673089,31.10298515596739,0.3456504189107518
31.512010339285435,32.371840454653054,31.618299176202534,31.83404999004701,0.46876248471820725
31.699284705050374,33.595035182317645,32.47144079340649,32.588586893591504,0.9532889774911851
34.05580141681611,33.46713407202934,32.374823505840915,33.29925299822879,0.8529711164523401
32.40340444855054,33.97031174055048,32.446787655616745,32.94016794823926,0.8923943636598397
34.21295557182269,34.31678331909844,34.54973320192704,34.35982403094939,0.17246498250993744
35.61544130626231,36.07107659784422,34.192888075377596,35.293135326494706,0.9796983668082767
35.02288360970491,35.06802480067413,34.59421301869131,34.89504047635679,0.26150009798207247
34.89739299445588,36.31768122378929,35.10761167852729,35.440895298924154,0.7665592881926304
35.804787088312736,35.858150992002955,34.8683084993683,35.510415526561324,0.556720757949863
36.349850467037264,36.092937848138455,35.947689868984426,36.130159394720046,0.20364765970665694
36.52339027151281,37.154010253493546,35.358245539883356,36.34521535496324,0.9110447038029785
36.6051394289225,36.80310108966386,35.80607109313479,36.40477053724038,0.5278522265370582
35.828378699103226,37.724810376042974,36.6571712115682,36.73678676223813,0.9507193346390324
37.51019085033704,37.35805673743583,37.06251412771253,37.3102539051618,0.22763445493821735
