J12,K12,L12,mean_HdhQ150-6mon-79,std_HdhQ150-6mon-79
0.8186353901176959,0.8270224129651073,1.191216507509615,0.9456247701974728,0.21273002048384704
0.8601353989588337,0.7765212777526305,0.9963093689195941,0.8776553485436861,0.11093652567930999
0.8847120430869178,1.1763250487205719,1.0481500954178748,1.0363957290751216,0.1461614179931323
0.9298136057619552,1.7178900232646157,1.4488083712377748,1.3655040000881151,0.40058809723385086
1.3601792268633588,1.5867538293334142,1.203959666948498,1.3836309077150901,0.19247163087081434
1.425095109687687,2.1487977597688532,1.7822421910883752,1.7853783535149719,0.3618615178071582
1.7780963088536546,2.0930992293030486,2.249510476260653,2.040235338139119,0.2401120000119783
1.7099998010129667,2.2632715181973673,2.2281288602599885,2.0671333931567744,0.3097854960773349
2.07958714448993,2.601622034766018,2.478530853206786,2.386580010820911,0.27289434718952277
2.97594623194812,2.9170762245379045,2.9146359990126625,2.935886151832895,0.03471449537703447
3.28115273916499,3.5754892555897424,3.183873443801507,3.3468384795187465,0.2039036497343917
3.962810329066504,4.24516989646802,4.409509225050527,4.205829816861684,0.2259329708473529
4.628580350917954,4.977427377465863,4.543695539442114,4.716567755941976,0.22986336030566287
4.829187742777373,5.490829825560067,5.6060230544703336,5.308680207602592,0.4192280260965571
5.9249803097846145,6.716414713839233,6.063694169904806,6.235029731176218,0.4226215918495703
7.497433846471631,7.794763970980638,7.575129732527866,7.622442516660045,0.1542082208959335
7.753115844313194,8.536563167920052,8.544952259275322,8.27821042383619,0.45476458997679803
9.293775938467274,9.913369728195331,9.576617509424993,9.594587725362532,0.3101875441777528
9.749960228673785,10.451787997754266,10.561243265228685,10.25433049721891,0.44021260742814544
11.563769815302273,11.231323794464315,12.615527564941583,11.80354039156939,0.722580422156227
12.757826653151305,13.022736924047805,13.057562644283601,12.94604207382757,0.1639267858915778
14.358858732399593,15.139003189892856,15.140132658902154,14.879331527064869,0.4507430159359892
15.451707426860988,15.998115475339697,16.286978058359498,15.912266986853396,0.42420128381761996
17.12556772128357,17.450356127743756,17.891882558756738,17.48926880259469,0.3846365228770177
18.011244830596482,18.802126644960094,18.122741704099305,18.31203772655196,0.4280750508498093
19.127185876836684,19.518484819271986,19.641987539204255,19.429219411770973,0.2687590419434196
20.145073185813427,21.700556411360363,21.296627108329478,21.047418901834423,0.807131069825612
21.34849449784531,22.84451689035446,22.695822354961194,22.296277914386987,0.8241647709757545
