D14,E14,F14,mean_Q150delta-intron-2w-25,std_Q150delta-intron-2w-25
36.13655633411601,35.58639214388591,36.1666778714323,35.96320878314474,0.32668013632498877
36.88829080949007,35.4432141304376,36.79885366959659,36.37678620317475,0.8097328953081615
36.91954999368445,36.174162777699806,36.825710260823335,36.63980767740253,0.4059807302449603
38.74173204981694,38.58117168327207,37.57021800949422,38.29770724752774,0.6351183759089343
37.6325169699388,38.04493102790138,36.593189206478,37.42354573477272,0.7480911120061117
38.34315769984089,38.3905937719307,37.69223858829992,38.141996686690504,0.3902234046475966
38.41306636668201,39.265874960607334,37.94400809178825,38.540983139692536,0.6701529902443639
37.304425545410055,37.62215001147698,36.74566174740968,37.22407910143224,0.44373368427114007
38.915204576479816,38.6392963351853,38.21765608731052,38.59071899965855,0.3513022798541875
38.38192805970341,38.89815448110823,37.86985001970905,38.38331085350689,0.5141536253128941
39.00407788267231,38.990524042148635,37.79600917074673,38.596870365189226,0.6935992475638455
40.45729737252701,40.481329749096496,38.70677511977651,39.88180074713334,1.017672986518693
39.877046942525965,40.46010874798668,38.22429727958826,39.520484323366965,1.1597697644755285
39.39631836022347,39.9164575156358,39.23773044352507,39.51683543979478,0.35505053788904434
39.33047036818177,39.685348688922026,39.32789012086146,39.44790305932175,0.2056379942551015
39.956795502236396,40.08484719283668,38.923903486235275,39.65518206043612,0.6365340318320076
40.316781326301324,39.87244664454652,38.70652111654507,39.6319163624643,0.8316403057993147
39.967819715489924,40.38441315916778,39.573341585839664,39.97519148683245,0.4055860346767138
39.16573311089084,39.36490774582969,40.65945838275812,39.73003307982622,0.81104326586089
39.85172772740342,39.01987369244627,40.03653448735941,39.63604530240303,0.5415616071315359
40.540947089888334,40.71032691256897,40.35416096249378,40.53514498831703,0.17815385004322604
40.88738012176444,39.79874937583019,39.91963073499868,40.201920077531106,0.5966947962978056
41.20819697936777,40.57441592844464,39.641236685483584,40.47461653109866,0.7882328846447403
40.48459489790163,40.754944980371604,40.06650777350674,40.43534921725999,0.34685054381587277
40.42097826519216,39.809243244991656,40.04292045927678,40.09104732315353,0.30869415285179425
39.970017358241975,40.09319231566493,41.121927890930955,40.39504585494595,0.632503864187653
40.170201093779056,41.13814579734657,40.8392884308105,40.715878440645376,0.49563268308851094
41.63310202062535,41.16222130772273,40.56318254298332,41.119501957110465,0.5362374747693409
40.8329605593986,40.30195088024494,40.55589023515186,40.56360055826513,0.2655887924039758
40.86961270389422,41.035714521420466,40.50591582381445,40.80374768304305,0.2709710606781704
41.633827488485444,41.03179502364923,39.79990448633541,40.82184233282336,0.9348146841714238
41.27504860443816,41.39907657998047,41.33593836966744,41.33668785136203,0.062017384428795105
39.82167608155326,40.183367097596836,42.18982258789998,40.73162192235002,1.2757221419766192
40.511520512648296,40.432701993467084,41.001948184386336,40.648723563500575,0.3084295938158309
40.551863835758,40.35822521890032,41.03276660820756,40.647618554288634,0.3473157728390609
41.4626543468249,40.815936567579534,42.191576521758414,41.49005581205429,0.6882292140746826
41.25483150616066,41.016084949773536,41.574749901886946,41.28188878594038,0.28031358238904214
41.908323162510946,42.40330465675976,41.047192118948836,41.786273312739844,0.6862451662298659
40.75481494696203,40.8530625804663,41.03671292011825,40.88153014918219,0.14308884886266182
40.98879980460193,41.63829471584501,40.9361477069454,41.187747409130786,0.39107252209467686
40.81423568786221,41.51056306547186,40.74629681227698,41.02369852187035,0.4230032335173986
40.735888914597275,40.017847985319875,41.86340732253651,40.87238140748456,0.930319819877989
41.04528507929508,39.42507043692361,40.82327310569996,40.43120954063955,0.87838445519296
42.05761393493281,40.98164922676737,41.22526865906758,41.42151060692259,0.564188080233739
40.85595476770141,41.23802020274629,40.83886815289588,40.97761437444786,0.22567982776540352
40.868127177985045,41.108098839603066,42.06623041774707,41.347485478445066,0.6339103370541586
40.911047358576205,41.09412612396679,41.46712427953548,41.157432587359494,0.2833922488995712
42.3540061546815,41.61472630522404,41.76615692672072,41.91162979554209,0.39051944974072733
41.72152793109299,40.41886894378349,41.41030899839219,41.18356862442289,0.6802856070764399
40.97447243621472,41.810991135799384,41.73991663814722,41.50846007005377,0.463810296213767
40.51999249863662,40.5415253961278,40.90174722098542,40.654421705249945,0.21446060120440502
40.50489054438221,41.58885177276427,40.727570293728924,40.94043753695846,0.5724747449355285
41.97613614312487,41.12544395242554,42.07111913687893,41.72423307747645,0.520736742015619
41.098494772600155,40.460520978073426,41.67895418362833,41.07932331143397,0.6094428010831973
41.143712376936804,42.20817986947781,42.58961637766133,41.980502874691986,0.7493578619683833
41.69339702227707,40.60789576688775,41.665036698017886,41.3221098290609,0.6186900451376494
