D22,E22,F22,mean_WT-delta-intron-1mon-49,std_WT-delta-intron-1mon-49
20.99239680193164,22.94747000608076,18.56598838738964,20.835285065134013,2.19496204229406
22.734125250117778,23.87763601811915,20.17973209293376,22.263831120390233,1.893279109459966
24.161298927499644,24.808028703863556,22.78283131364859,23.917386315003927,1.0343965096781027
24.471525241068054,25.07455058969613,23.1910465102739,24.245707447012695,0.9618431064285213
25.81513950117533,26.403681207536124,24.44482125751247,25.55454732207464,1.0050941691244673
27.735463811437416,28.240040650352473,25.150370386542086,27.041958282777326,1.6574764020884643
27.918819237849213,29.259073516168883,26.74624389047255,27.974712214830216,1.2573468895261735
29.24621672496236,30.562811446731136,27.39774734887515,29.06892517352288,1.5899628632591056
29.955721228149713,30.349604725402042,28.85477852947963,29.72003482767713,0.774782161984747
30.86097394380247,30.808927119100954,28.641846416254673,30.103915826386032,1.2664566467202003
32.06771664910965,32.00625789071992,29.946982643917785,31.34031906124912,1.2070559529872626
30.880838657139716,32.30781608408081,30.26865091714012,31.15243521945355,1.0463613926419415
32.46611766448292,33.043530009434605,32.20383464435355,32.571160772757025,0.4295900574752233
32.160680209317874,33.6518537055522,31.91601643866576,32.576183451178615,0.9395557260085916
34.793361355163654,33.79888614402361,33.3572747215665,33.983174073584586,0.7355662686226896
34.0685742512493,33.99573821631549,33.22810922700548,33.76414056485675,0.4656430697059611
33.639123446359584,35.0081399134226,33.57201762678726,34.07309366218981,0.8104686401789317
35.19840017504414,35.86972427159771,33.90923002681837,34.99245149115341,0.9963410893115235
35.581629341504865,36.68825028382668,35.02382742887175,35.76456901806777,0.8471576323033325
35.31950854295419,36.08007311062004,34.813056601985856,35.40421275185336,0.6377411783331983
36.54533461110135,37.51724766066442,35.73459711203492,36.59905979460023,0.8925388177209735
35.67808305866148,36.49978514571192,35.29568889268592,35.8245190323531,0.6152597560633031
36.690375591455656,36.99898262935502,35.89468630236071,36.52801484105713,0.5697704400947454
37.01451251254927,38.505600687178955,36.70376624358774,37.407959814438655,0.963199057854059
36.72814332179813,37.98256388355023,36.639246784016315,37.116651329788226,0.7512183848118832
37.29442989562568,38.36036308682664,37.01251451527195,37.55576916590809,0.7109132180542909
37.12218160645772,37.52167333539636,36.96864981996455,37.20416825393954,0.2854822410047964
38.08357938979891,37.713035066471825,37.36365341707913,37.720089291116615,0.36001482346305796
37.33981078936187,39.22513631011351,38.298143816330935,38.28769697193544,0.9427061749122739
37.917439162399624,39.15152592614609,37.15178376426624,38.07358295093732,1.0089736570020813
38.66099158233156,39.229646345964184,38.695776891692226,38.86213827332932,0.3187462031549106
38.76694899573268,38.3065367136377,38.33538323495316,38.46962298144118,0.2578955205676393
39.11544408920725,38.5120978243998,37.33663614989957,38.321392687835534,0.904608068762382
39.894908079307775,39.39079431817423,37.83665129901496,39.04078456549899,1.0728398592665982
39.24123158734227,39.85556406430676,38.850952693135355,39.31591611492813,0.5064526984499795
39.45541613006691,38.606793914977814,38.9209741318055,38.994394725616736,0.4290487777425504
39.575625821766664,39.044884981897255,39.523636005987996,39.38138226988397,0.29257230534175055
40.251509179499216,39.39425993577893,37.85544857252094,39.16707256259969,1.214078739199948
39.73997346650315,39.983723596894066,38.87219326111697,39.53196344150473,0.5842311611965505
39.989040862753825,40.09114655839891,39.37142468183752,39.81720403433008,0.3894172782534323
40.01105439294521,39.958352409275136,39.48275607420538,39.81738762547524,0.2909949846640749
40.19378583534879,40.73929138856865,40.20253502537161,40.37853741642969,0.31245272985212713
39.616426957052454,40.24249689010747,39.22776418384885,39.695562677002926,0.5119740842237964
40.18862523330935,40.692229681643106,38.70673872001445,39.862531211655636,1.0321320520631032
40.839883188036566,40.28460717813871,40.053507886205246,40.39266608412684,0.40417084779222906
39.65621315338466,39.655955883922104,39.62225867427816,39.64480923719498,0.019529783992484225
40.30237115808929,41.17047508398236,41.14513310856941,40.87265978354702,0.4940469523985653
40.22389054338893,40.09393697902055,40.44158944833799,40.25313899024916,0.1756620721397504
41.18532783691949,39.884826564420734,39.43083270132735,40.166995700889196,0.9106469466185234
40.30379389540036,40.61289100192439,40.57570478224876,40.49746322652451,0.1687499958429507
40.94190577372173,39.97441713852736,40.44006182163405,40.452128244627716,0.4838571728624711
40.17538461647172,40.642104723422854,39.892935796261206,40.23680837871859,0.37834267441375696
40.45218556678257,41.03437209640953,40.614750026137536,40.7004358964432,0.30040279642057466
